timestamp,is_anomaly,anomaly_type,service,panel,dashboard,hierarchical_cluster
2024-01-04 11:50:07,False,normal,order-service,Memory Usage,Infrastructure Overview,0
2024-01-02 05:44:13,False,normal,api-gateway,Request Rate,Application Performance,2
2024-01-08 17:45:57,True,traffic_spike,user-service,Request Rate,Application Performance,4
2024-01-10 02:31:15,True,gc_pressure,user-service,GC Time,JVM Metrics,4
2024-01-10 10:42:05,True,cpu_spike,product-service,CPU Usage,Infrastructure Overview,3
2024-01-06 15:00:18,False,normal,user-service,JVM Heap Usage,JVM Metrics,0
2024-01-03 21:40:23,False,normal,order-service,Response Time P95,Application Performance,2
2024-01-03 18:23:16,False,normal,notification-service,Connection Pool Usage,Database Metrics,0
2024-01-04 09:53:46,False,normal,notification-service,Connection Pool Usage,Database Metrics,0
2024-01-05 00:45:23,False,normal,api-gateway,Memory Usage,Infrastructure Overview,0
2024-01-03 10:53:53,False,normal,order-service,Request Rate,Application Performance,2
2024-01-06 04:19:34,False,normal,product-service,Response Time P95,Application Performance,6
2024-01-05 03:12:48,False,normal,payment-service,JVM Heap Usage,JVM Metrics,0
2024-01-02 04:09:54,False,normal,payment-service,Cache Hit Rate,Cache Performance,7
2024-01-05 17:09:13,False,normal,order-service,Memory Usage,Infrastructure Overview,0
2024-01-06 15:45:11,False,normal,analytics-service,CPU Usage,Infrastructure Overview,1
2024-01-05 18:02:30,False,normal,payment-service,GC Time,JVM Metrics,1
2024-01-07 09:15:08,False,normal,api-gateway,Query Duration,Database Metrics,1
2024-01-01 02:38:30,False,normal,user-service,JVM Heap Usage,JVM Metrics,0
2024-01-03 16:57:54,False,normal,api-gateway,Query Duration,Database Metrics,1
2024-01-01 10:19:16,False,normal,user-service,Response Time P95,Application Performance,2
2024-01-02 01:05:28,False,normal,payment-service,Cache Hit Rate,Cache Performance,7
2024-01-02 16:58:54,False,normal,analytics-service,Error Rate,Application Performance,5
2024-01-03 23:32:06,False,normal,api-gateway,Connection Pool Usage,Database Metrics,0
2024-01-05 11:14:54,False,normal,product-service,Query Duration,Database Metrics,6
2024-01-09 10:56:29,True,gc_pressure,order-service,GC Time,JVM Metrics,4
2024-01-06 20:15:58,False,normal,order-service,Error Rate,Application Performance,5
2024-01-02 11:55:33,False,normal,order-service,Request Rate,Application Performance,2
2024-01-06 15:02:35,False,normal,order-service,Response Time P99,Application Performance,2
2024-01-02 22:18:14,False,normal,order-service,Network Traffic,Infrastructure Overview,1
2024-01-01 01:19:43,False,normal,api-gateway,GC Time,JVM Metrics,1
2024-01-05 08:09:23,False,normal,product-service,Memory Usage,Infrastructure Overview,6
2024-01-07 01:08:43,False,normal,api-gateway,CPU Usage,Infrastructure Overview,1
2024-01-06 20:34:07,False,normal,analytics-service,Error Rate,Application Performance,5
2024-01-06 18:51:56,False,normal,payment-service,Request Rate,Application Performance,2
2024-01-03 07:48:45,False,normal,user-service,Response Time P99,Application Performance,2
2024-01-07 10:54:35,False,normal,payment-service,Memory Usage,Infrastructure Overview,0
2024-01-02 17:15:45,False,normal,user-service,GC Time,JVM Metrics,1
2024-01-04 14:54:08,False,normal,payment-service,Connection Pool Usage,Database Metrics,0
2024-01-04 07:47:05,False,normal,product-service,Cache Hit Rate,Cache Performance,7
2024-01-02 09:56:10,False,normal,notification-service,Cache Hit Rate,Cache Performance,7
