log_level,response_time_ms,http_status_code,log_message_length,log_word_count,hour,is_weekend,service_type,namespace_name,container_name
INFO,49.17,,47,6,0,False,service,production,notification-service
INFO,94.29,,60,6,0,False,service,production,user-service
INFO,29.0,200.0,42,5,0,False,service,production,order-service
INFO,,232.0,41,5,0,False,service,production,order-service
INFO,78.66,200.0,519,68,0,False,service,production,order-service
INFO,,236.0,350,28,0,False,service,production,payment-service
INFO,95.0,200.0,35,5,0,False,service,production,payment-service
DEBUG,,,54,6,0,False,service,production,analytics-service
INFO,69.08,200.0,342,33,0,False,service,production,analytics-service
INFO,38.49,200.0,469,60,0,False,service,production,order-service
INFO,70.98,500.0,482,64,0,False,service,production,order-service
ERROR,22.94,,47,6,0,False,service,production,payment-service
INFO,171.32,171.0,385,59,0,False,api,production,api-gateway
INFO,79.27,200.0,355,34,0,False,service,production,order-service
INFO,49.58,200.0,33,5,0,False,service,production,payment-service
INFO,,161.0,404,36,0,False,api,production,api-gateway
DEBUG,55.33,,40,6,0,False,service,production,user-service
INFO,43.73,137.0,62,6,0,False,service,production,notification-service
INFO,45.7,200.0,336,30,0,False,service,production,notification-service
INFO,52.55,200.0,521,68,0,False,service,production,order-service
INFO,,185.0,279,21,0,False,service,production,order-service
INFO,43.6,362.0,48,6,0,False,service,production,order-service
INFO,56.49,200.0,36,5,0,False,service,production,order-service
INFO,95.46,200.0,325,30,0,False,service,production,payment-service
INFO,52.87,200.0,489,64,0,False,service,production,payment-service
INFO,,254.0,258,18,0,False,service,production,analytics-service
INFO,317.64,317.0,418,61,0,False,service,production,notification-service
INFO,,100.0,353,28,0,False,service,production,user-service
INFO,88.71,,48,6,0,False,api,production,api-gateway
INFO,,101.0,382,32,0,False,service,production,user-service
DEBUG,,,77,7,0,False,service,production,payment-service
INFO,,,30,4,0,False,service,production,user-service
ERROR,70.02,,51,6,0,False,api,production,api-gateway
DEBUG,,,270,33,0,False,service,production,notification-service
INFO,65.66,200.0,43,5,0,False,service,production,order-service
ERROR,,281.0,52,5,0,False,service,production,product-service
INFO,93.13,200.0,476,64,0,False,service,production,order-service
INFO,,,22,5,0,False,service,production,user-service
DEBUG,,,35,6,0,False,service,production,user-service
INFO,68.61,200.0,506,64,0,False,service,production,product-service
INFO,72.3,204.0,42,5,0,False,service,production,notification-service
INFO,69.0,200.0,289,26,0,False,service,production,user-service
INFO,87.87,200.0,468,60,0,False,service,production,order-service
ERROR,457.4,,102,16,0,False,service,production,payment-service
INFO,273.33,,104,16,0,False,service,production,notification-service
INFO,90.66,200.0,313,29,0,False,service,production,payment-service
INFO,35.12,200.0,511,67,0,False,service,production,analytics-service
DEBUG,,,54,6,0,False,service,production,order-service
INFO,94.15,200.0,352,34,0,False,service,production,analytics-service
DEBUG,,,31,4,0,False,service,production,analytics-service
INFO,70.11,200.0,512,64,0,False,service,production,order-service
DEBUG,,,54,6,0,False,service,production,order-service
INFO,318.47,318.0,271,33,0,False,api,production,api-gateway
INFO,32.32,200.0,28,5,0,False,api,production,api-gateway
INFO,80.0,288.0,58,6,0,False,service,production,notification-service
INFO,78.66,288.0,61,6,0,False,service,production,notification-service
DEBUG,89.08,,259,33,0,False,service,production,notification-service
INFO,73.16,200.0,489,64,0,False,service,production,payment-service
